Data Science Courses,Analyzing and Visualizing Data with Excel,https://www.classcentral.com/course/edx-analyzing-and-visualizing-data-with-excel-4480
Data Science Courses,Biology Meets Programming: Bioinformatics for Beginners,https://www.classcentral.com/course/bioinformatics-745
Data Science Courses,Introduction to R,https://www.classcentral.com/course/datacamp-introduction-to-r-7630
Data Science Courses,Aprendizaje automático y ciencia de datos,https://www.classcentral.com/course/edx-aprendizaje-automatico-y-ciencia-de-datos-12250
Data Science Courses,Reproducible Research,https://www.classcentral.com/course/repdata-1716
Data Science Courses,Probability and Statistics in Data Science using Python,https://www.classcentral.com/course/edx-probability-and-statistics-in-data-science-using-python-8213
Data Science Courses,Mastering Data Analysis in Excel,https://www.classcentral.com/course/analytics-excel-4310
Data Science Courses,Hadoop Platform and Application Framework,https://www.classcentral.com/course/hadoop-4269
Data Science Courses,Data Science,https://www.classcentral.com/course/jhu-data-science-18692
Data Science Courses,Digital Analytics for Marketing Professionals: Marketing Analytics in Practice,https://www.classcentral.com/course/dmanalyticspractice-2754
Data Science Courses,Applied Data Science: An Introduction,https://www.classcentral.com/course/open-education-by-blackboard-applied-data-science-an-introduction-1806
Data Science Courses,Data Science: R Basics,https://www.classcentral.com/course/edx-data-science-r-basics-9253
Data Science Courses,Whole genome sequencing of bacterial genomes - tools and applications,https://www.classcentral.com/course/wgs-bacteria-8907
Data Science Courses,A Crash Course in Data Science,https://www.classcentral.com/course/data-science-crash-course-4392
